Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1259079,1251075,5862,2828,14624,5934,12118,16,2506,40332,20279,26960,7501,13372,12778,15878
Středočeský kraj,1315299,1309139,5376,3938,14572,6458,12301,30,2271,25466,4652,14774,1908,10692,2744,12963
Jihočeský kraj,637300,636911,2806,1568,6437,3116,6428,14,9,4945,1039,4361,695,584,344,593
Plzeňský kraj,575123,573993,2519,1374,5674,2786,5761,11,-87,5365,1906,3624,809,1741,1097,1654
Karlovarský kraj,299293,299880,1249,777,2764,1702,3151,11,-387,2984,1219,3613,747,-629,472,-1016
Ústecký kraj,823972,824789,3325,2352,8292,5069,8846,32,-554,7229,2254,7823,1148,-594,1106,-1148
Liberecký kraj,438851,438813,1849,1236,4435,2304,4346,11,89,4550,1047,4397,584,153,463,242
Královéhradecký kraj,551590,551730,2508,1379,5518,2642,5614,13,-96,4397,823,4620,580,-223,243,-319
Pardubický kraj,516372,516109,2232,1330,5410,2453,5123,12,287,4276,903,4176,546,100,357,387
Kraj Vysočina,509895,510006,2188,1107,5334,2204,4880,13,454,3197,473,3965,306,-768,167,-314
Jihomoravský kraj,1172853,1170678,5153,2924,12802,5305,11399,43,1403,10050,3905,8678,2790,1372,1115,2775
Olomoucký kraj,635711,636109,2737,1521,6400,3056,6461,14,-61,4150,688,4734,523,-584,165,-645
Zlínský kraj,585261,585829,2482,1277,5599,2191,6120,21,-521,3241,617,3758,418,-517,199,-1038
Moravskoslezský kraj,1217676,1219722,5289,3153,11999,6047,13117,22,-1118,4805,1820,7843,1409,-3038,411,-4156
