Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1294513,1286554,6604,2860,15324,6322,12199,25,3125,37976,16779,27096,6090,10880,10689,14005
Středočeský kraj,1352795,1345764,6524,3768,15323,7332,13248,30,2075,27805,5241,16067,1820,11738,3421,13813
Jihočeský kraj,640196,639180,3145,1498,6880,3480,6752,16,128,6020,2162,4734,688,1286,1474,1414
Plzeňský kraj,580816,579228,2857,1356,6066,3084,6242,21,-176,6881,3275,4518,1371,2363,1904,2187
Karlovarský kraj,295686,296106,1551,734,2753,1654,3406,14,-653,3081,1264,3491,574,-410,690,-1063
Ústecký kraj,821080,820937,3901,2252,8442,5447,9172,38,-730,7691,2162,7258,913,433,1249,-297
Liberecký kraj,441300,440934,2289,1158,4753,2635,4707,18,46,4960,1503,4342,480,618,1023,664
Královéhradecký kraj,551089,550848,2669,1343,5702,2875,5783,16,-81,5125,1420,4759,496,366,924,285
Pardubický kraj,518337,517243,2450,1327,5372,2624,5389,11,-17,5544,1832,4277,381,1267,1451,1250
Kraj Vysočina,508916,508664,2554,1100,5440,2417,5288,8,152,3947,1023,4135,263,-188,760,-36
Jihomoravský kraj,1183207,1180477,6040,2867,13509,5894,12275,31,1234,12031,5315,8870,2393,3161,2922,4395
Olomoucký kraj,633178,633133,3039,1430,6679,3352,7033,19,-354,4700,1048,5093,518,-393,530,-747
Zlínský kraj,583056,583039,2940,1246,6084,2615,6389,20,-305,3736,912,4073,385,-337,527,-642
Moravskoslezský kraj,1205886,1207419,6004,2816,12078,6360,13560,37,-1482,5550,2021,8061,1312,-2511,709,-3993
