Kraj,Počet obyvatel - koncový stav,Počet obyvatel - střední stav,Sňatky,Rozvody,Živě narození,z toho mimo manželství,Zemřelí,z toho do 1 roku,Přirozený přírůstek/úbytek,Přistěhovalí,z toho z ciziny,Vystěhovalí,z toho do ciziny,Přírůstek/úbytek stěhováním,z toho s cizinou,Celkový přírůstek/úbytek
Hlavní město Praha,1384732,1374334,6393,2288,12575,4839,12212,20,363,67699,39851,40656,13055,27043,26796,27406
Středočeský kraj,1455940,1450379,6181,2758,12249,5562,13765,29,-1516,45642,18158,27577,6461,18065,11697,16549
Jihočeský kraj,654505,654078,2990,1201,5349,2641,6939,13,-1590,11412,5914,7620,2000,3792,3914,2202
Plzeňský kraj,613374,610148,2630,1106,4942,2398,6111,9,-1169,18616,12355,9461,3445,9155,8910,7986
Karlovarský kraj,295077,294964,1304,589,2131,1236,3346,3,-1215,7799,4892,5102,1704,2697,3188,1482
Ústecký kraj,811169,812776,3703,1591,6332,3977,9517,20,-3185,12198,6007,10181,3099,2017,2908,-1168
Liberecký kraj,450728,450450,1939,890,3549,1864,4735,10,-1186,9334,4820,6597,1754,2737,3066,1551
Královéhradecký kraj,556949,556633,2444,957,4549,2315,6019,6,-1470,10835,5472,7683,1706,3152,3766,1682
Pardubický kraj,530560,530238,2231,907,4516,2139,5427,9,-911,10995,5614,8285,1864,2710,3750,1799
Kraj Vysočina,517960,517019,2184,835,4476,1969,5466,9,-990,10828,5756,6655,1305,4173,4451,3183
Jihomoravský kraj,1226749,1223124,5578,2083,10669,4501,12326,21,-1657,26030,16519,14824,4929,11206,11590,9549
Olomoucký kraj,632864,632790,2774,1121,5322,2608,6981,15,-1659,9169,4177,6448,1333,2721,2844,1062
Zlínský kraj,580744,580966,2423,948,4861,2029,6276,14,-1415,7803,3686,6175,1336,1628,2350,213
Moravskoslezský kraj,1189204,1190143,5494,2179,9629,4847,13675,22,-4046,13102,8042,9526,2600,3576,5442,-470
